City	Country	Latitude	Longitude	Country_ISO3	Pop1950	Pop1955	Pop1960	Pop1965	Pop1970	Pop1975	Pop1980	Pop1985	Pop1990	Pop1995	Pop2000	Pop2005	Pop2010	Pop2015	Pop2020	Pop2025	Pop2050
Hong Kong	"China, Hong Kong Special Administrative Region"	22.27	114.17	CHN	1680	2120	2620	3190	3460	3940	4610	5070	5680	6210	6660	7060	7210	7420	7740	8040	8305
Budapest	Hungary	47.51	19.09	HUN	1620	1710	1810	1880	1950	2000	2060	2040	2000	1890	1790	1690	1680	1660	1660	1660	1655
Agra	India	27.18	78.02	IND	370	430	500	560	620	680	740	830	930	1100	1290	1510	1590	1700	1900	2120	2364
Ahmadabad	India	23.03	72.56	IND	860	1010	1180	1410	1700	2050	2480	2860	3260	3790	4430	5120	5380	5730	6320	6990	7735
Aligarh	India	27.88	78.08	IND	140	160	180	210	250	280	320	380	470	550	650	760	800	860	970	1080	1215
Allahabad	India	25.45	81.85	IND	330	370	420	460	510	570	640	730	830	930	1040	1150	1200	1280	1420	1590	1781
Amritsar	India	31.63	74.87	IND	340	360	390	420	450	520	600	660	730	840	990	1150	1210	1300	1450	1620	1811
Asansol	India	23.68	86.98	IND	90	120	160	200	240	290	360	500	730	890	1060	1260	1330	1420	1590	1780	1985
Aurangabad	India	19.78	75.29	IND	60	80	100	120	160	220	300	420	570	710	870	1050	1110	1200	1340	1500	1678
Bangalore	India	12.97	77.58	IND	750	940	1170	1380	1620	2110	2810	3400	4040	4740	5570	6460	6790	7230	7970	8800	9719
Bareilly	India	28.55	80.12	IND	210	230	270	300	320	370	440	520	600	660	720	790	820	870	970	1090	1219
Bhiwandi	India	19.29	73.06	IND	20	30	50	60	80	90	110	200	360	480	600	740	800	860	960	1080	1212
Bhopal	India	23.22	77.41	IND	100	140	210	280	370	490	660	830	1050	1230	1430	1640	1730	1840	2050	2290	2553
Bhubaneswar	India	20.26	85.83	IND	20	20	40	60	100	140	210	290	400	500	640	790	840	910	1020	1150	1286
Chandigarh	India	30.73	76.78	IND	40	60	90	140	220	300	410	480	560	670	790	930	980	1050	1170	1310	1472
Chennai	India	13.06	80.24	IND	1490	1700	1920	2400	3060	3610	4200	4750	5340	5840	6350	6920	7160	7560	8310	9170	10129
Coimbatore	India	11.01	76.97	IND	280	350	440	560	710	810	910	1000	1090	1240	1420	1620	1700	1810	2010	2240	2503
Delhi	India	28.66	77.21	IND	1370	1780	2280	2840	3530	4430	5560	6770	8210	10090	12440	15050	15930	17020	18670	20480	22498
Dhanbad	India	23.8	86.45	IND	70	110	190	280	410	520	660	730	800	920	1050	1190	1250	1330	1480	1660	1852
Durg-Bhilainagar	India	21.22	81.43	IND	20	50	120	170	230	330	470	570	670	780	900	1040	1100	1170	1310	1460	1640
Faridabad	India	28.42	77.3	IND	20	30	40	60	80	150	300	430	590	780	1020	1300	1390	1510	1690	1890	2109
Ghaziabad	India	28.67	77.42	IND	40	50	70	90	120	180	270	370	490	680	930	1240	1340	1460	1640	1830	2046
Guwahati	India	26.17	91.77	IND	40	70	130	160	200	250	330	430	560	680	800	930	980	1050	1180	1320	1477
Gwalior	India	26.14	78.1	IND	240	270	300	340	400	460	540	620	710	780	860	940	980	1040	1160	1300	1455
Hubli-Dharwad	India	15.36	75.08	IND	190	220	240	300	370	440	520	580	640	700	780	860	890	950	1060	1180	1327
Hyderabad	India	17.39	78.48	IND	1100	1180	1240	1460	1750	2090	2490	3210	4190	4820	5440	6120	6380	6760	7450	8220	9092
Indore	India	22.42	75.54	IND	300	340	390	460	550	660	810	940	1090	1310	1600	1910	2030	2180	2420	2700	3005
Jabalpur	India	23.15	79.97	IND	250	300	360	430	520	620	740	810	880	980	1100	1230	1280	1370	1520	1700	1904
Jaipur	India	26.9	75.8	IND	290	350	400	500	620	780	980	1210	1480	1830	2260	2750	2920	3140	3480	3870	4298
Jalandhar	India	31.32	75.57	IND	170	190	220	250	290	340	400	450	500	590	690	810	860	920	1030	1150	1290
Jammu	India	33.45	76.24	IND	80	90	110	130	160	190	220	280	360	460	590	740	790	860	960	1080	1211
Jamshedpur	India	22.8	86.18	IND	210	260	320	380	440	540	650	740	820	940	1080	1240	1300	1390	1550	1730	1933
Jodhpur	India	26.28	73.02	IND	180	200	220	260	310	390	490	570	650	740	840	950	1000	1060	1180	1330	1486
Kanpur	India	26.45	80.31	IND	690	810	950	1090	1250	1420	1610	1800	2000	2290	2640	3020	3160	3370	3730	4140	4601
Kochi	India	9.97	76.27	IND	160	210	270	340	420	530	670	860	1100	1230	1340	1460	1520	1610	1790	2000	2232
Kolkata	India	22.54	88.33	IND	4510	5060	5650	6260	6930	7890	9030	9950	10890	11920	13060	14280	14790	15580	17040	18710	20560
Kota	India	25.18	75.83	IND	60	80	120	150	200	270	350	430	520	600	690	790	830	880	990	1110	1243
Kozhikode	India	26.28	75.77	IND	160	180	220	260	320	410	530	640	780	840	880	920	950	1010	1120	1260	1409
Lucknow	India	26.84	80.91	IND	490	560	640	720	800	890	990	1250	1610	1910	2220	2570	2700	2880	3190	3550	3944
Ludhiana	India	30.91	75.85	IND	150	190	240	300	390	480	590	770	1010	1180	1370	1570	1650	1760	1960	2190	2440
Madurai	India	9.91	78.12	IND	360	420	480	580	690	790	890	980	1070	1130	1190	1260	1290	1370	1520	1700	1897
Meerut	India	28.99	77.7	IND	230	250	280	320	360	430	520	660	820	980	1140	1330	1400	1500	1670	1860	2080
Moradabad	India	28.83	78.78	IND	160	170	190	220	270	300	340	380	440	520	630	740	790	850	950	1060	1192
Mumbai	India	19.07	72.82	IND	2860	3430	4060	4850	5810	7080	8660	10340	12310	14110	16090	18200	18980	20070	21950	24050	26385
Mysore	India	12.3	76.65	IND	240	250	250	290	350	400	470	550	640	710	780	850	890	940	1050	1180	1322
Nagpur	India	21.15	79.08	IND	470	560	670	780	910	1080	1270	1450	1640	1850	2090	2350	2450	2610	2900	3220	3583
Nashik	India	20.02	73.5	IND	150	180	210	240	270	330	420	540	700	890	1120	1380	1470	1590	1780	1980	2213
Patna	India	25.61	85.13	IND	280	320	360	410	480	640	880	990	1090	1330	1660	2030	2160	2320	2590	2880	3207
Pune	India	18.53	73.85	IND	580	680	780	920	1100	1340	1640	2000	2430	2980	3660	4410	4670	5010	5540	6140	6797
Raipur	India	21.23	81.63	IND	90	110	140	160	200	260	330	390	450	550	680	820	880	940	1060	1180	1327
Rajkot	India	22.3	70.78	IND	130	160	190	230	290	360	430	530	640	790	970	1190	1260	1360	1520	1700	1896
Ranchi	India	23.35	85.33	IND	100	120	140	180	240	340	480	550	610	710	840	990	1040	1120	1250	1400	1567
Salem	India	11.65	78.16	IND	200	230	270	330	400	460	510	540	570	650	740	830	870	930	1040	1170	1309
Solapur	India	17.68	75.92	IND	270	300	330	360	390	440	510	560	610	720	850	1000	1060	1140	1270	1420	1587
Srinagar	India	34.08	74.8	IND	250	270	290	340	410	490	590	660	730	830	950	1090	1140	1220	1360	1520	1699
Surat	India	21.16	72.83	IND	230	270	310	380	480	640	880	1140	1470	1980	2700	3560	3840	4170	4640	5140	5703
Thiruvananthapuram	India	8.48	76.95	IND	180	210	240	300	390	450	510	640	800	850	880	930	950	1010	1120	1260	1408
Tiruchirappalli	India	10.81	78.69	IND	290	310	340	390	450	520	600	650	700	770	840	920	950	1010	1130	1260	1414
Vadodara	India	22.3	73.2	IND	210	250	300	370	450	570	720	890	1100	1270	1460	1680	1760	1880	2080	2320	2592
Varanasi	India	25.28	82.95	IND	350	410	480	540	600	680	780	890	1010	1110	1200	1300	1350	1430	1600	1780	1991
Vijayawada	India	16.51	80.61	IND	160	190	230	280	340	420	530	660	820	910	1000	1090	1140	1210	1350	1500	1684
Visakhapatnam	India	17.74	83.33	IND	100	140	200	270	350	450	580	770	1020	1170	1310	1460	1530	1630	1810	2020	2256
Adelaide	Australia	-34.81	138.52	AUS	430	500	570	700	790	880	940	990	1050	1070	1100	1130	1140	1170	1210	1260	1300
Brisbane	Australia	-27.45	153.02	AUS	440	520	600	700	800	930	1070	1190	1330	1470	1600	1780	1860	1970	2090	2170	2233
Melbourne	Australia	-37.85	145.07	AUS	1330	1570	1850	2070	2330	2560	2760	2940	3120	3260	3430	3640	3730	3850	4010	4140	4238
Perth	Australia	-31.95	115.85	AUS	310	360	410	480	610	770	900	1020	1160	1270	1370	1480	1530	1600	1680	1750	1800
Sydney	Australia	-33.88	151.02	AUS	1690	1910	2140	2390	2670	2960	3230	3430	3630	3840	4080	4260	4330	4430	4580	4720	4826
Bandar Lampung	Indonesia	-5.45	105.26	IDN	30	40	60	100	150	230	350	400	450	580	740	820	860	940	1060	1170	1260
Bandung	Indonesia	-6.91	107.6	IDN	510	680	900	1050	1170	1300	1450	1720	2040	2100	2140	2300	2390	2570	2890	3160	3370
Bogor	Indonesia	-6.6	106.8	IDN	110	130	150	200	300	410	540	570	600	670	750	860	920	1000	1140	1260	1351
Jakarta	Indonesia	-6.16	106.8	IDN	1450	1970	2680	3300	3920	4810	5980	7010	8180	8320	8390	8840	9120	9700	10790	11690	12363
Malang	Indonesia	-7.98	112.62	IDN	210	260	320	370	410	460	510	590	690	720	760	780	800	860	970	1060	1146
Medan	Indonesia	3.58	98.67	IDN	280	360	450	530	610	880	1340	1530	1720	1820	1910	2040	2120	2260	2540	2790	2977
Padang	Indonesia	-0.95	100.35	IDN	100	120	140	160	190	280	460	550	630	670	720	810	860	930	1060	1170	1254
Palembang	Indonesia	-2.99	104.75	IDN	280	350	450	510	570	660	780	940	1130	1290	1460	1660	1750	1900	2150	2360	2526
Pekan Baru	Indonesia	0.53	101.45	IDN	40	50	70	90	120	150	180	270	390	480	590	740	800	890	1020	1130	1213
Semarang	Indonesia	-6.97	110.42	IDN	370	420	480	550	630	780	1010	1130	1240	1330	1430	1380	1400	1460	1630	1790	1921
Surabaya	Indonesia	-7.39	112.68	IDN	680	810	960	1180	1470	1740	2010	2230	2470	2540	2610	2750	2840	3040	3400	3720	3962
Ujung Pandang	Indonesia	-5.13	119.41	IDN	220	280	360	400	420	500	630	720	820	930	1050	1190	1260	1370	1560	1710	1837
Ahvaz	Iran (Islamic Republic of)	31.31	48.68	IRN	80	110	150	190	250	310	410	540	680	780	870	960	1000	1060	1160	1250	1326
Esfahan	Iran (Islamic Republic of)	32.65	51.67	IRN	180	240	310	400	540	770	900	980	1090	1230	1380	1550	1630	1740	1920	2070	2185
Karaj	Iran (Islamic Republic of)	35.81	50.96	IRN	10	10	20	40	70	120	220	390	690	900	1090	1320	1420	1580	1800	1950	2061
Kermanshah	Iran (Islamic Republic of)	34.3	47.05	IRN	100	120	140	180	220	270	370	520	610	680	730	780	800	840	910	980	1041
Mashhad	Iran (Islamic Republic of)	36.28	59.59	IRN	170	220	290	380	510	680	950	1340	1680	1850	2070	2350	2470	2650	2930	3150	3315
Qom	Iran (Islamic Republic of)	34.65	50.88	IRN	80	90	110	130	170	230	330	490	620	740	840	930	970	1040	1140	1230	1302
Shiraz	Iran (Islamic Republic of)	29.6	52.53	IRN	130	160	200	250	320	420	580	820	950	1030	1120	1200	1240	1300	1410	1520	1608
Tabriz	Iran (Islamic Republic of)	38.08	46.28	IRN	240	280	330	390	500	660	800	940	1060	1160	1260	1370	1410	1480	1610	1740	1834
Tehran	Iran (Islamic Republic of)	35.77	51.44	IRN	1040	1400	1870	2510	3290	4270	5080	5840	6360	6690	7130	7650	7870	8220	8830	9400	9814
Al-Basrah	Iraq	30.5	47.76	IRQ	120	150	200	300	330	350	370	400	470	630	760	840	870	920	1020	1140	1270
Al-Mawsil	Iraq	36.33	43.13	IRQ	140	170	200	260	320	400	490	600	740	890	1060	1240	1320	1450	1680	1890	2097
Baghdad	Iraq	33.33	44.39	IRQ	580	720	1020	1610	2070	2620	3140	3610	4090	4600	5200	5330	5050	5890	6620	7340	8060
Irbil	Iraq	36.16	44.01	IRQ	30	40	50	90	130	190	280	410	540	640	760	870	930	1010	1160	1300	1450
Dublin	Ireland	53.34	-6.25	IRL	630	650	660	720	770	830	900	920	920	950	990	1040	1060	1100	1180	1260	1332
Hefa	Israel	32.76	35	ISR	200	230	260	290	320	350	370	440	580	780	890	990	1010	1040	1100	1160	1210
Tel Aviv-Yafo	Israel	32.04	34.76	ISR	420	560	740	880	1030	1210	1420	1680	2030	2440	2750	3010	3110	3260	3450	3600	3726
Milano	Italy	45.47	9.18	ITA	1880	2100	2400	2700	3020	3130	3170	3130	3060	3020	2980	2950	2940	2940	2940	2940	2938
Napoli	Italy	40.83	14.25	ITA	1500	1620	1760	1880	2000	2100	2190	2210	2210	2220	2230	2250	2250	2250	2250	2250	2254
Palermo	Italy	38.12	13.35	ITA	590	640	690	720	750	780	820	830	840	850	860	860	860	860	870	870	871
Rome	Italy	41.87	12.51	ITA	1880	2140	2460	2780	3140	3300	3390	3430	3450	3420	3380	3350	3340	3330	3330	3330	3330
Torino	Italy	45.07	7.66	ITA	1010	1150	1350	1550	1760	1840	1860	1830	1780	1730	1690	1660	1650	1650	1640	1640	1645
Abidjan	Côte d'Ivoire	5.32	-4.02	CIV	60	120	190	310	550	970	1380	1720	2100	2540	3030	3560	3800	4180	4810	5430	6031
Fukuoka-Kitakyushu	Japan	33.57	130.4	JPN	950	1150	1340	1490	1650	1850	2030	2220	2490	2620	2720	2770	2790	2820	2830	2830	2834
Hiroshima	Japan	34.37	132.44	JPN	500	650	830	1070	1380	1770	1820	1920	1990	2040	2040	2040	2040	2040	2050	2050	2046
Kyoto	Japan	35	135.75	JPN	1000	1090	1160	1230	1300	1620	1700	1710	1760	1800	1810	1800	1800	1800	1800	1800	1804
Nagoya	Japan	35.15	136.92	JPN	990	1230	1560	1760	2000	2290	2590	2710	2950	3060	3120	3200	3230	3270	3290	3300	3295
Osaka-Kobe	Japan	34.63	135.51	JPN	4150	5120	6230	7650	9410	9840	9990	10350	11040	11050	11160	11260	11290	11340	11360	11370	11368
Sapporo	Japan	43.05	141.34	JPN	750	890	1060	1250	1480	1750	2000	2160	2320	2480	2510	2530	2540	2560	2560	2560	2565
Sendai	Japan	38.25	140.89	JPN	540	670	820	1020	1260	1570	1730	1860	2020	2140	2180	2230	2250	2270	2290	2290	2288
Tokyo	Japan	35.68	139.8	JPN	11280	13710	16680	20280	23300	26620	28550	30300	32530	33590	34450	35330	35680	36090	36370	36400	36400
Almaty	Kazakhstan	43.25	76.91	KAZ	350	440	530	630	740	860	970	1030	1080	1110	1140	1190	1210	1240	1300	1360	1404
Kabul	Afghanistan	34.53	69.13	AFG	130	180	260	370	470	670	980	1160	1310	1620	1960	2990	3280	3770	4730	5840	7175
Wien	Austria	48.2	16.32	AUT	2090	2090	2090	2080	2070	2060	2050	2070	2100	2130	2160	2260	2320	2380	2450	2480	2496
Amman	Jordan	31.94	35.93	JOR	90	140	220	300	390	500	640	740	850	970	1010	1040	1060	1110	1180	1270	1359
Mombasa	Kenya	-4.05	39.65	KEN	90	120	160	200	250	300	350	410	480	570	690	820	880	980	1200	1450	1763
Nairobi	Kenya	-1.26	36.8	KEN	140	200	290	400	530	680	860	1090	1380	1760	2230	2790	3010	3360	4050	4880	5871
Hamhung	Democratic People's Republic of Korea	39.91	127.55	PRK	170	220	280	370	450	520	590	670	700	710	730	760	770	790	820	850	882
N'ampo	Democratic People's Republic of Korea	38.73	125.4	PRK	50	70	90	120	150	220	300	420	580	810	1020	1110	1130	1150	1190	1230	1274
P'yongyang	Democratic People's Republic of Korea	39.02	125.75	PRK	520	580	650	770	990	1350	1840	2200	2530	2840	3120	3260	3300	3350	3430	3540	3630
Bucheon	Republic of Korea	37.5	126.78	KOR	30	40	50	60	80	110	210	440	650	770	760	830	870	910	940	950	948
Busan	Republic of Korea	35.1	129.03	KOR	950	1050	1150	1360	1810	2420	3110	3490	3780	3810	3670	3530	3480	3420	3390	3380	3383
Daegu	Republic of Korea	35.86	128.6	KOR	360	480	660	810	1050	1300	1580	2000	2220	2430	2480	2470	2460	2460	2460	2460	2458
Daejon	Republic of Korea	36.35	127.38	KOR	130	170	220	290	400	500	640	850	1040	1260	1360	1440	1470	1510	1540	1540	1544
Goyang	Republic of Korea	37.65	126.8	KOR	40	50	60	80	100	120	150	190	240	490	740	860	900	960	1000	1010	1012
Gwangju	Republic of Korea	35.16	126.91	KOR	170	230	310	380	490	600	720	890	1120	1250	1350	1410	1440	1470	1500	1510	1507
Incheon	Republic of Korea	37.48	126.63	KOR	260	320	390	500	630	790	1060	1360	1780	2270	2460	2530	2550	2580	2600	2610	2607
Seongnam	Republic of Korea	37.43	127.15	KOR	50	80	100	140	200	270	370	440	530	840	910	930	940	950	970	970	971
Seoul	Republic of Korea	37.54	126.93	KOR	1020	1550	2360	3450	5310	6810	8260	9550	10540	10260	9920	9820	9800	9760	9740	9740	9738
Suweon	Republic of Korea	37.26	127.01	KOR	70	80	90	160	170	220	300	420	630	750	930	1040	1080	1130	1170	1180	1179
Ulsan	Republic of Korea	35.55	129.31	KOR	30	40	70	100	150	250	400	540	670	940	1010	1050	1060	1080	1100	1100	1102
Al Kuwayt (Kuwait City)	Kuwait	29.38	47.97	KWT	60	110	180	300	550	690	890	1120	1390	1190	1500	1890	2060	2300	2590	2790	2956
Bishkek	Kyrgyzstan	42.87	74.77	KGZ	150	190	240	320	430	480	540	580	640	700	770	820	840	870	930	1010	1096
Bayrut	Lebanon	33.88	35.49	LBN	320	420	560	730	920	1500	1620	1580	1290	1270	1490	1780	1850	1940	2050	2120	2173
Monrovia	Liberia	6.3	-10.79	LBR	20	30	80	120	160	230	320	510	1040	460	840	1140	1040	1180	1460	1750	2083
Banghazi	Libyan Arab Jamahiriya	32.12	20.06	LBY	50	70	100	150	220	310	380	470	610	800	940	1110	1180	1270	1400	1500	1590
Tarabulus	Libyan Arab Jamahiriya	32.9	13.18	LBY	110	140	170	240	400	610	800	1060	1500	1680	1880	2100	2190	2320	2530	2710	2855
Antananarivo	Madagascar	-18.9	47.52	MDG	180	190	250	300	360	450	580	740	950	1170	1360	1590	1700	1880	2230	2640	3118
Johore Bharu	Malaysia	1.5	103.76	MYS	50	70	90	110	140	180	250	320	420	520	630	800	880	1000	1180	1290	1382
Klang	Malaysia	3.03	101.45	MYS	40	60	80	100	110	150	190	260	340	470	630	850	960	1130	1360	1500	1603
Kuala Lumpur	Malaysia	3.14	101.7	MYS	210	280	340	390	450	640	920	1020	1120	1210	1310	1400	1450	1520	1670	1820	1938
Bamako	Mali	12.65	-7.98	MLI	90	110	130	160	220	360	490	610	750	910	1110	1370	1490	1710	2130	2630	3214
Aguascalientes	Mexico	21.88	-102.29	MEX	90	110	130	150	180	230	300	400	550	630	730	830	870	930	1000	1050	1089
Chihuahua	Mexico	28.63	-106.07	MEX	90	130	190	240	290	340	410	470	540	620	680	760	790	840	900	950	985
Ciudad de México	Mexico	19.42	-99.12	MEX	2880	3800	5010	6650	8770	10690	13010	14110	15310	16810	18020	18740	19030	19480	20190	20700	21009
Ciudad Juárez	Mexico	31.73	-106.48	MEX	120	180	260	330	410	470	550	660	810	1000	1220	1310	1340	1400	1480	1540	1597
Culiacán	Mexico	24.8	-107.38	MEX	50	60	80	120	170	230	310	430	610	690	750	790	810	840	890	930	964
Guadalajara	Mexico	20.67	-103.34	MEX	400	590	870	1150	1510	1850	2270	2620	3010	3430	3700	4050	4200	4410	4670	4850	4973
León de los Aldamas	Mexico	21.11	-101.68	MEX	120	190	300	380	480	590	720	830	960	1130	1290	1430	1490	1570	1680	1760	1817
Mérida	Mexico	20.97	-89.62	MEX	140	170	210	240	270	350	460	550	660	760	850	930	960	1020	1090	1140	1180
Mexicali	Mexico	32.65	-115.46	MEX	70	110	180	220	270	300	340	460	610	690	770	850	880	940	1000	1050	1090
Monterrey	Mexico	25.67	-100.31	MEX	360	500	700	940	1270	1590	1990	2270	2590	2960	3270	3580	3710	3900	4140	4300	4413
Puebla	Mexico	19.04	-98.19	MEX	230	290	380	490	640	860	1140	1400	1690	1690	1910	2110	2200	2320	2470	2580	2657
Querétaro	Mexico	20.58	-100.38	MEX	50	60	70	90	120	160	220	350	560	670	800	910	960	1030	1120	1170	1215
Saltillo	Mexico	25.41	-100.99	MEX	70	80	100	130	160	220	290	380	490	580	640	720	750	800	860	910	942
San Luis Potosí	Mexico	22.15	-100.97	MEX	130	160	210	250	300	380	470	560	660	770	860	950	990	1050	1130	1180	1223
Tijuana	Mexico	32.52	-117.03	MEX	60	100	150	210	290	360	440	580	760	1020	1290	1470	1550	1670	1800	1880	1943
Toluca de Lerdo	Mexico	19.28	-99.66	MEX	50	70	90	120	160	310	600	710	840	980	1420	1500	1530	1580	1670	1740	1802
Torreón	Mexico	25.55	-103.76	MEX	190	260	350	390	450	560	690	780	880	950	1010	1100	1140	1200	1280	1340	1387
Ulaanbaatar	Mongolia	47.92	106.91	MNG	70	110	180	250	300	360	420	490	570	660	760	860	880	920	980	1040	1112
Chittagong	Bangladesh	22.32	91.82	BGD	290	320	360	500	720	1020	1340	1660	2020	2580	3310	4190	4530	5010	5810	6690	7639
Dhaka	Bangladesh	23.7	90.4	BGD	340	410	510	820	1370	2220	3270	4660	6620	8330	10280	12580	13480	14800	17020	19420	22015
Khulna	Bangladesh	22.84	89.55	BGD	40	70	120	190	310	470	630	790	980	1130	1280	1470	1550	1700	1980	2290	2640
Rajshahi	Bangladesh	24.35	88.63	BGD	40	50	60	80	100	150	240	350	520	610	680	770	810	890	1040	1210	1396
Dar-el-Beida	Morocco	33.6	-7.63	MAR	620	780	970	1210	1500	1790	2110	2410	2680	2950	3040	3140	3180	3270	3480	3720	3949
Fès	Morocco	34.04	-4.99	MAR	160	220	280	320	370	430	510	590	680	780	870	960	1000	1060	1150	1240	1332
Marrakech	Morocco	31.63	-8.01	MAR	210	220	240	280	320	370	420	480	580	680	760	840	870	920	1000	1080	1163
Rabat	Morocco	34.01	-6.83	MAR	140	180	230	340	490	640	810	990	1170	1380	1510	1650	1700	1790	1940	2080	2222
Maputo	Mozambique	-25.96	32.57	MOZ	90	130	180	260	370	460	550	650	780	920	1100	1330	1450	1620	1920	2240	2560
Yerevan	Armenia	40.2	44.53	ARM	340	430	540	650	780	910	1040	1120	1180	1140	1110	1100	1100	1100	1100	1100	1102
Kathmandu	Nepal	27.71	85.31	NPL	100	110	120	130	150	180	220	300	400	510	640	820	900	1030	1280	1580	1907
Amsterdam	Netherlands	52.37	4.89	NLD	850	870	900	940	930	980	940	910	940	990	1000	1020	1030	1040	1060	1080	1089
Rotterdam	Netherlands	51.92	4.48	NLD	760	850	940	970	970	930	910	930	950	980	990	1000	1000	1010	1030	1050	1057
Auckland	New Zealand	-36.9	174.76	NZL	320	390	440	530	640	730	770	810	870	980	1060	1190	1240	1320	1400	1440	1475
Managua	Nicaragua	12.15	-86.27	NIC	110	150	200	270	370	440	520	620	740	860	890	910	920	940	1020	1100	1193
Antwerpen	Belgium	51.2	4.42	BEL	760	790	810	840	860	870	880	880	890	910	910	920	920	920	920	920	920
Bruxelles-Brussel	Belgium	50.83	4.36	BEL	1420	1450	1480	1520	1570	1610	1650	1650	1680	1720	1730	1740	1740	1740	1740	1740	1744
Niamey	Niger	13.51	2.12	NER	20	40	60	80	130	200	270	340	430	540	680	850	920	1030	1260	1580	2028
Abuja	Nigeria	9.05	7.25	NGA	20	20	20	30	50	80	120	200	330	530	830	1320	1580	1990	2560	2970	3358
Benin City	Nigeria	6.33	5.62	NGA	50	60	80	110	160	230	340	480	690	840	980	1120	1190	1300	1520	1760	1991
Ibadan	Nigeria	7.37	3.89	NGA	420	490	570	670	810	980	1190	1440	1740	1990	2240	2510	2630	2840	3270	3750	4234
Ilorin	Nigeria	8.49	4.54	NGA	110	140	180	220	270	320	390	460	520	580	650	740	770	840	970	1120	1277
Kaduna	Nigeria	10.51	7.44	NGA	30	50	100	170	270	410	630	850	960	1080	1220	1380	1440	1560	1810	2080	2360
Kano	Nigeria	11.99	8.49	NGA	120	160	230	340	540	860	1350	1860	2100	2360	2660	2990	3140	3390	3910	4490	5056
Lagos	Nigeria	6.45	3.3	NGA	300	470	760	1140	1410	1890	2570	3500	4760	5970	7230	8770	9470	10570	12400	14130	15796
Maiduguri	Nigeria	11.85	13.16	NGA	50	70	100	160	220	300	420	530	600	670	760	850	900	970	1120	1300	1479
Ogbomosho	Nigeria	8.13	4.25	NGA	120	170	250	330	380	430	480	550	620	700	800	900	950	1030	1200	1390	1575
Port Harcourt	Nigeria	4.78	7	NGA	60	90	140	200	270	360	480	600	680	770	860	970	1020	1100	1280	1480	1680
Zaria	Nigeria	11.06	7.7	NGA	50	70	120	180	240	320	420	520	590	670	750	850	890	960	1120	1290	1470
Oslo	Norway	59.93	10.71	NOR	470	530	580	610	640	640	640	660	680	730	770	820	840	860	880	910	936
Faisalabad	Pakistan	31.4	73.08	PAK	170	260	400	550	730	910	1080	1280	1520	1800	2140	2480	2620	2830	3260	3760	4283
Gujranwala	Pakistan	32.15	74.18	PAK	120	150	190	250	320	430	580	700	850	1020	1220	1430	1510	1640	1900	2200	2513
Hyderabad	Pakistan	25.38	68.36	PAK	230	310	420	500	590	670	740	840	950	1080	1220	1390	1460	1580	1830	2110	2420
Islamabad	Pakistan	33.71	73.06	PAK	40	40	40	60	70	110	190	260	340	450	590	730	780	850	990	1150	1320
Karachi	Pakistan	24.89	67.02	PAK	1060	1420	1850	2400	3120	3990	5050	6030	7150	8470	10020	11550	12130	13050	14860	16920	19095
Lahore	Pakistan	31.54	74.34	PAK	840	1020	1260	1580	1960	2400	2880	3390	3970	4650	5450	6260	6580	7090	8110	9280	10512
Multan	Pakistan	30.2	71.41	PAK	190	250	340	420	500	600	720	830	950	1100	1260	1440	1520	1650	1910	2200	2523
Peshawar	Pakistan	34	71.54	PAK	150	180	210	240	260	350	540	650	770	900	1070	1240	1300	1420	1640	1890	2170
Quetta	Pakistan	30.2	67.01	PAK	80	90	100	120	140	190	270	340	410	500	610	720	770	840	970	1130	1298
Rawalpindi	Pakistan	33.6	73.04	PAK	230	280	330	430	550	670	780	920	1090	1290	1520	1760	1860	2020	2320	2680	3067
Ciudad de Panamá (Panama City)	Panama	9	-79.51	PAN	170	220	280	360	460	530	610	720	850	950	1070	1220	1280	1380	1530	1650	1759
Asunción	Paraguay	-25.3	-57.62	PRY	260	310	380	460	550	650	770	910	1090	1290	1510	1760	1870	2030	2280	2510	2715
Arequipa	Peru	-16.39	-71.52	PER	130	140	160	210	270	350	430	500	560	640	700	780	820	860	930	980	1038
Lima	Peru	-12.08	-77.04	PER	1070	1370	1760	2280	2980	3700	4440	5120	5840	6540	7120	7750	8010	8380	8860	9250	9600
Cebu	Philippines	10.42	123.79	PHL	180	210	250	300	350	420	490	550	610	660	720	790	820	860	960	1060	1153
Davao	Philippines	7.08	125.61	PHL	120	170	230	300	400	490	610	720	850	1000	1150	1320	1400	1520	1730	1910	2065
Manila	Philippines	14.61	120.96	PHL	1540	1870	2270	2830	3530	5000	5960	6890	7970	9400	9960	10760	11100	11660	12790	13890	14808
Zamboanga	Philippines	6.9	122.06	PHL	110	120	130	160	200	210	340	390	440	510	600	720	770	860	990	1100	1192
Kraków	Poland	50.06	19.94	POL	340	400	470	520	580	640	700	720	740	750	760	760	760	760	760	760	755
Lódz	Poland	51.77	19.47	POL	610	660	700	730	760	800	820	830	840	820	800	770	760	740	740	740	735
Warszawa	Poland	52.24	21.01	POL	770	940	1120	1210	1300	1440	1560	1600	1630	1650	1670	1690	1710	1720	1740	1740	1736
Lisboa	Portugal	38.72	-9.12	PRT	1300	1400	1510	1660	1820	2100	2450	2520	2540	2600	2670	2760	2810	2890	3000	3060	3086
Porto	Portugal	41.16	-8.58	PRT	730	780	840	880	920	1010	1100	1140	1160	1210	1250	1310	1340	1380	1440	1480	1497
